accuracy,precision,recall,f1,model
0.98975,0.9846610588817417,0.995,0.9898035314598359,Logistic Regression
0.95125,0.9537456008044244,0.9485,0.9511155678114815,Multinomial NB
0.99625,0.9945191828599901,0.998,0.9962565510356876,Random Forest
0.99475,0.9940089865202196,0.9955,0.9947539345490882,Linear SVM
0.99775,0.9975012493753124,0.998,0.9977505623594102,XGBoost
